fold,accuracy,precision,recall,f1
1,0.54375,0.5458428830118995,0.54375,0.5394209377353161
2,0.46634615384615385,0.5028813859988611,0.46634615384615385,0.472992845214382
3,0.47511574074074076,0.4866372906360337,0.47511574074074076,0.4718348570971306
4,0.540948275862069,0.5517694365031547,0.540948275862069,0.5337515764884303
5,0.5300925925925926,0.5534877704387803,0.5300925925925926,0.5252582589388899
6,0.5149739583333334,0.5209313259852919,0.5149739583333334,0.511774478944857
7,0.4479166666666667,0.47266468216416585,0.4479166666666667,0.4431924896808206
8,0.5244565217391305,0.5264945766813866,0.5244565217391305,0.5181105059438181
9,0.5735677083333334,0.5920774612162695,0.5735677083333334,0.5663980348064549
10,0.5891927083333334,0.6162951423823392,0.5891927083333334,0.5866586480436388
